,Window Size,p,K,SR
0,24,1,15,0.07304468396453795
1,24,1,16,0.07304468396453796
2,24,1,17,0.07304468396453796
3,24,1,18,0.07304468396453796
4,24,1,19,0.07304468396453796
5,24,1,20,0.07304468396453796
6,24,2,15,0.09694547713731054
7,24,2,16,0.09694547713731054
8,24,2,17,0.09694547713731054
9,24,2,18,0.09694547713731054
10,24,2,19,0.09694547713731054
11,24,2,20,0.09694547713731054
12,24,3,15,0.05335156191364411
13,24,3,16,0.05335156191364411
14,24,3,17,0.05335156191364411
15,24,3,18,0.05335156191364411
16,24,3,19,0.05335156191364411
17,24,3,20,0.05335156191364411
18,24,4,15,0.09654187679586396
19,24,4,16,0.09654187679586396
20,24,4,17,0.09654187679586396
21,24,4,18,0.09654187679586396
22,24,4,19,0.09654187679586396
23,24,4,20,0.09654187679586396
24,24,5,15,0.11856811357230161
25,24,5,16,0.11856811357230171
26,24,5,17,0.11856811357230171
27,24,5,18,0.11856811357230171
28,24,5,19,0.11856811357230171
29,24,5,20,0.11856811357230171
30,24,6,15,0.12057443024643746
31,24,6,16,0.12057443024643746
32,24,6,17,0.12057443024643746
33,24,6,18,0.12057443024643746
34,24,6,19,0.12057443024643746
35,24,6,20,0.12057443024643746
36,24,7,15,0.08816701043032105
37,24,7,16,0.08816701043032105
38,24,7,17,0.08816701043032105
39,24,7,18,0.08816701043032105
40,24,7,19,0.08816701043032105
41,24,7,20,0.08816701043032105
42,24,8,15,0.12447503052272772
43,24,8,16,0.12447503052272772
44,24,8,17,0.12447503052272772
45,24,8,18,0.12447503052272772
46,24,8,19,0.12447503052272772
47,24,8,20,0.12447503052272772
48,24,9,15,0.1658020679258843
49,24,9,16,0.1658020679258843
50,24,9,17,0.1658020679258843
51,24,9,18,0.1658020679258843
52,24,9,19,0.1658020679258843
53,24,9,20,0.1658020679258843
54,24,10,15,0.1724387179006465
55,24,10,16,0.1724387179006465
56,24,10,17,0.1724387179006465
57,24,10,18,0.1724387179006465
58,24,10,19,0.1724387179006465
59,24,10,20,0.1724387179006465
60,36,1,15,-0.06728306303982895
61,36,1,16,-0.06728306303982895
62,36,1,17,-0.06728306303982895
63,36,1,18,-0.06728306303982895
64,36,1,19,-0.06728306303982895
65,36,1,20,-0.06728306303982895
66,36,2,15,-0.06971413324380471
67,36,2,16,-0.06971413324380471
68,36,2,17,-0.06971413324380471
69,36,2,18,-0.06971413324380471
70,36,2,19,-0.06971413324380471
71,36,2,20,-0.06971413324380471
72,36,3,15,-0.0666075868530843
73,36,3,16,-0.0666075868530843
74,36,3,17,-0.0666075868530843
75,36,3,18,-0.0666075868530843
76,36,3,19,-0.0666075868530843
77,36,3,20,-0.0666075868530843
78,36,4,15,-0.10927280242562873
79,36,4,16,-0.10927280242562873
80,36,4,17,-0.10927280242562873
81,36,4,18,-0.10927280242562873
82,36,4,19,-0.10927280242562873
83,36,4,20,-0.10927280242562873
84,36,5,15,-0.09525877491177284
